iter	Passed	Remaining
461	10091	11751
462	10112	11728
463	10132	11705
464	10154	11683
465	10176	11661
466	10195	11636
467	10214	11611
468	10234	11587
469	10254	11563
470	10275	11540
471	10294	11516
472	10315	11493
473	10336	11470
474	10356	11447
475	10377	11423
476	10396	11399
477	10415	11374
478	10436	11351
479	10457	11328
480	10481	11309
481	10501	11285
482	10522	11262
483	10540	11237
484	10559	11212
485	10581	11190
486	10603	11169
487	10624	11146
488	10644	11123
489	10664	11099
490	10685	11076
491	10705	11053
492	10725	11030
493	10744	11005
494	10763	10980
495	10784	10958
496	10806	10937
497	10827	10914
498	10848	10891
499	10870	10870
500	10890	10846
501	10910	10823
502	10932	10802
503	10951	10777
504	10970	10753
505	10990	10729
506	11012	10708
507	11031	10683
508	11052	10661
509	11071	10637
510	11092	10614
511	11112	10591
512	11132	10568
513	11153	10545
514	11171	10520
515	11190	10496
516	11213	10475
517	11233	10453
518	11255	10431
519	11276	10409
520	11297	10386
521	11320	10366
522	11340	10342
523	11406	10361
524	11469	10376
525	11489	10354
526	11509	10330
527	11531	10308
528	11550	10284
529	11570	10260
530	11590	10237
531	11610	10213
532	11630	10190
533	11653	10169
534	11671	10144
535	11692	10121
536	11711	10097
537	11730	10073
538	11751	10051
539	11770	10026
540	11791	10004
541	11813	9982
542	11835	9961
543	11854	9936
544	11873	9912
545	11894	9890
546	11912	9865
547	11933	9843
548	11955	9821
549	11974	9797
550	11994	9774
551	12015	9751
552	12035	9728
553	12060	9709
554	12078	9684
555	12097	9660
556	12117	9637
557	12136	9613
558	12157	9590
559	12178	9568
560	12198	9545
561	12217	9521
562	12236	9497
563	12257	9475
564	12278	9453
565	12298	9430
566	12318	9407
567	12338	9384
568	12358	9361
569	12380	9339
570	12401	9317
571	12421	9294
572	12442	9272
573	12464	9250
574	12484	9227
575	12504	9204
576	12524	9181
577	12543	9158
578	12563	9135
579	12581	9111
580	12602	9088
581	12622	9065
582	12644	9044
583	12663	9020
584	12684	8998
585	12705	8975
586	12724	8952
587	12744	8929
588	12763	8906
589	12784	8884
590	12805	8862
591	12825	8839
592	12847	8817
593	12867	8795
594	12886	8771
595	12906	8748
596	12929	8727
597	12949	8705
598	12969	8682
599	12989	8659
600	13009	8637
601	13031	8615
602	13053	8593
603	13071	8569
604	13089	8545
605	13108	8522
606	13129	8500
607	13150	8478
608	13170	8456
609	13190	8433
610	13211	8411
611	13232	8389
612	13252	8366
613	13270	8342
614	13292	8321
615	13312	8298
616	13334	8277
617	13356	8256
618	13376	8233
619	13396	8210
620	13416	8188
621	13437	8166
622	13458	8144
623	13479	8122
624	13499	8099
625	13520	8077
626	13539	8054
627	13561	8033
628	13580	8010
629	13601	7988
630	13624	7967
631	13645	7945
632	13665	7923
633	13687	7901
634	13707	7879
635	13726	7856
636	13745	7832
637	13764	7810
638	13787	7789
639	13806	7766
640	13825	7743
641	13845	7720
642	13865	7698
643	13885	7676
644	13906	7654
645	13926	7631
646	13945	7608
647	13966	7586
648	13987	7564
649	14006	7541
650	14025	7519
651	14045	7496
652	14065	7474
653	14086	7452
654	14109	7431
655	14127	7408
656	14147	7386
657	14168	7364
658	14187	7341
659	14209	7319
660	14230	7298
661	14265	7283
662	14286	7261
663	14304	7238
664	14326	7217
665	14345	7194
666	14363	7171
667	14382	7148
668	14402	7125
669	14422	7103
670	14443	7082
671	14464	7059
672	14482	7037
673	14504	7015
674	14525	6993
675	14546	6971
676	14564	6949
677	14583	6926
678	14604	6904
679	14624	6882
680	14647	6861
681	14666	6838
682	14684	6815
683	14702	6792
684	14724	6770
685	14744	6748
686	14764	6726
687	14783	6704
688	14803	6682
689	14824	6660
690	14845	6638
691	14865	6616
692	14884	6593
693	14904	6571
694	14924	6549
695	14943	6527
696	14965	6505
697	14983	6482
698	15002	6460
699	15023	6438
700	15041	6415
701	15064	6394
702	15082	6372
703	15103	6350
704	15123	6328
705	15143	6306
706	15163	6284
707	15185	6263
708	15206	6241
709	15226	6219
710	15248	6197
711	15268	6175
712	15290	6154
713	15312	6133
714	15331	6111
715	15350	6088
716	15369	6066
717	15389	6044
718	15408	6021
719	15427	5999
720	15449	5978
721	15469	5956
722	15491	5935
723	15512	5913
724	15531	5891
725	15551	5869
726	15571	5847
727	15593	5826
728	15614	5804
729	15632	5781
730	15651	5759
731	15670	5737
732	15688	5714
733	15713	5694
734	15732	5672
735	15752	5650
736	15770	5627
737	15789	5605
738	15811	5584
739	15830	5561
740	15849	5539
741	15867	5517
742	15886	5495
743	15908	5473
744	15929	5452
745	15949	5430
746	15968	5408
747	15987	5386
748	16009	5365
749	16029	5343
750	16049	5321
751	16069	5299
752	16088	5277
753	16111	5256
754	16133	5235
755	16151	5212
756	16171	5191
757	16190	5169
758	16209	5146
759	16227	5124
760	16250	5103
761	16271	5082
762	16292	5060
763	16313	5039
764	16332	5017
765	16354	4995
766	16374	4974
767	16394	4952
768	16413	4930
769	16433	4908
770	16452	4886
771	16473	4865
772	16493	4843
773	16514	4822
774	16536	4800
775	16556	4779
776	16576	4757
777	16596	4735
778	16615	4713
779	16637	4692
780	16659	4671
781	16678	4649
782	16700	4628
783	16720	4606
784	16754	4588
785	16776	4567
786	16798	4546
787	16816	4524
788	16836	4502
789	16854	4480
790	16875	4458
791	16899	4438
792	16919	4416
793	16939	4394
794	16959	4373
795	16979	4351
796	17001	4330
797	17021	4308
798	17040	4286
799	17060	4265
800	17081	4243
801	17100	4221
802	17119	4199
803	17140	4178
804	17160	4156
805	17181	4135
806	17202	4114
807	17222	4092
808	17243	4071
809	17261	4049
810	17280	4027
811	17304	4006
812	17323	3984
813	17342	3962
814	17361	3940
815	17381	3919
816	17402	3898
817	17421	3876
818	17442	3854
819	17461	3832
820	17479	3811
821	17498	3789
822	17518	3767
823	17539	3746
824	17558	3724
825	17578	3703
826	17597	3681
827	17618	3659
828	17638	3638
829	17656	3616
830	17676	3594
831	17696	3573
832	17719	3552
833	17741	3531
834	17759	3509
835	17777	3487
836	17798	3466
837	17818	3444
838	17840	3423
839	17858	3401
840	17876	3379
841	17897	3358
842	17916	3336
843	17938	3315
844	17956	3293
845	17976	3272
846	17998	3251
847	18018	3229
848	18037	3208
849	18056	3186
850	18074	3164
851	18093	3142
852	18116	3122
853	18135	3100
854	18154	3078
855	18174	3057
856	18192	3035
857	18213	3014
858	18234	2993
859	18253	2971
860	18273	2950
861	18294	2928
862	18315	2907
863	18335	2886
864	18356	2864
865	18375	2843
866	18394	2821
867	18413	2800
868	18434	2779
869	18455	2757
870	18474	2736
871	18493	2714
872	18515	2693
873	18534	2672
874	18554	2650
875	18574	2629
876	18595	2607
877	18614	2586
878	18634	2565
879	18652	2543
880	18671	2522
881	18692	2500
882	18712	2479
883	18732	2458
884	18751	2436
885	18770	2415
886	18790	2393
887	18811	2372
888	18830	2351
889	18848	2329
890	18867	2308
891	18887	2286
892	18908	2265
893	18929	2244
894	18947	2222
895	18967	2201
896	18988	2180
897	19009	2159
898	19029	2137
899	19048	2116
900	19067	2095
901	19089	2073
902	19110	2052
903	19130	2031
904	19150	2010
905	19170	1989
906	19192	1967
907	19212	1946
908	19232	1925
909	19250	1903
910	19271	1882
911	19293	1861
912	19313	1840
913	19335	1819
914	19356	1798
915	19375	1776
916	19394	1755
917	19416	1734
918	19435	1713
919	19456	1691
920	19477	1670
921	19495	1649
922	19517	1628
923	19535	1606
924	19554	1585
925	19573	1564
926	19592	1542
927	19612	1521
928	19632	1500
929	19653	1479
930	19672	1458
931	19692	1436
932	19713	1415
933	19734	1394
934	19754	1373
935	19773	1352
936	19792	1330
937	19814	1309
938	19834	1288
939	19854	1267
940	19873	1246
941	19893	1224
942	19915	1203
943	19937	1182
944	19956	1161
945	19976	1140
946	19995	1119
947	20015	1097
948	20035	1076
949	20053	1055
950	20073	1034
951	20092	1013
952	20112	991
953	20133	970
954	20154	949
955	20174	928
956	20194	907
957	20214	886
958	20233	865
959	20254	843
960	20276	822
961	20296	801
962	20315	780
963	20335	759
964	20355	738
965	20377	717
966	20397	696
967	20416	674
968	20436	653
969	20457	632
970	20478	611
971	20497	590
972	20515	569
973	20539	548
974	20558	527
975	20578	506
976	20598	484
977	20619	463
978	20639	442
979	20658	421
980	20677	400
981	20697	379
982	20715	358
983	20736	337
984	20755	316
985	20805	295
986	20825	274
987	20845	253
988	20864	232
989	20883	210
990	20903	189
991	20922	168
992	20946	147
993	20965	126
994	20988	105
995	21007	84
996	21026	63
997	21042	42
998	21061	21
999	21083	0
